symbol,lot,odd_lot_unit,industry,group,tradable_flag
2434,1000,1,24,-1,1
2436,1000,1,24,-1,1
2438,1000,1,26,-1,1
2439,1000,1,27,-1,1
2440,1000,1,28,-1,1
2441,1000,1,24,-1,1
2442,1000,1,14,-1,1
2444,1000,1,27,-1,1
2449,1000,1,24,-1,1
2450,1000,1,27,-1,1
2451,1000,1,24,-1,1
2453,1000,1,30,-1,1
2454,1000,1,24,-1,1
2455,1000,1,27,-1,1
2457,1000,1,28,-1,1
2458,1000,1,24,-1,1
2459,1000,1,31,-1,1
2460,1000,1,28,-1,1
2461,1000,1,31,-1,1
2462,1000,1,28,-1,1
2464,1000,1,31,-1,1
2465,1000,1,25,-1,1
2466,1000,1,26,-1,1
2467,1000,1,28,-1,1
2468,1000,1,30,-1,1
2471,1000,1,30,-1,1
2472,1000,1,28,-1,1
2474,1000,1,31,-1,1
2476,1000,1,28,-1,1
2477,1000,1,31,-1,1
2478,1000,1,28,-1,1
2480,1000,1,30,-1,1
2481,1000,1,24,-1,1
2482,1000,1,31,-1,1
2483,1000,1,28,-1,1
2484,1000,1,28,-1,1
2485,1000,1,27,-1,1
2486,1000,1,26,-1,1
2488,1000,1,31,-1,1
2489,1000,1,26,-1,1
2491,1000,1,26,-1,1
2492,1000,1,28,-1,1
2493,1000,1,28,-1,1
2495,1000,1,25,-1,1
2496,1000,1,20,-1,1
2497,1000,1,12,-1,1
2498,1000,1,27,-1,1
2501,1000,1,14,-1,1
2504,1000,1,14,-1,1
2505,1000,1,14,-1,1
2506,1000,1,14,-1,1
2509,1000,1,14,-1,1
2511,1000,1,14,-1,1
2514,1000,1,20,-1,1
2515,1000,1,14,-1,1
2516,1000,1,14,-1,1
2520,1000,1,14,-1,1
2524,1000,1,14,-1,1
2527,1000,1,14,-1,1
2528,1000,1,14,-1,1
2530,1000,1,14,-1,1
2534,1000,1,14,-1,1
2535,1000,1,14,-1,1
2536,1000,1,14,-1,1
2537,1000,1,14,-1,1
2538,1000,1,14,-1,1
2539,1000,1,14,-1,1
2540,1000,1,14,-1,1
2542,1000,1,14,-1,1
2543,1000,1,14,-1,1
2545,1000,1,14,-1,1
2546,1000,1,14,-1,1
2547,1000,1,14,-1,1
2548,1000,1,14,-1,1
2597,1000,1,14,-1,1
2601,1000,1,18,-1,1
2603,1000,1,15,-1,1
2605,1000,1,15,-1,1
2606,1000,1,15,-1,1
2607,1000,1,15,-1,1
2608,1000,1,15,-1,1
2609,1000,1,15,-1,1
2610,1000,1,15,-1,1
2611,1000,1,15,-1,1
